epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3779.32,2.27903,2.38315,1.07276,0.37659,0.08738,0.06417,0.03133,2.13549,1.78885,0.99779,0.000208248,0.000208248,0.000208248
2,7077.47,2.11184,1.75491,1.01151,0.32139,0.11126,0.08537,0.04221,2.01987,1.67431,0.9749,0.000395961,0.000395961,0.000395961
3,10421.7,2.06813,1.67468,0.99739,0.25999,0.1191,0.09393,0.04689,1.973,1.64122,0.96245,0.000563048,0.000563048,0.000563048
4,13654.7,2.02525,1.62327,0.9894,0.3595,0.12621,0.10239,0.05116,1.93331,1.53386,0.95867,0.000532187,0.000532187,0.000532187
5,16872.4,1.98733,1.57062,0.98161,0.19842,0.13489,0.1093,0.05582,1.88767,1.48393,0.9577,0.00050125,0.00050125,0.00050125
6,20091.9,1.96665,1.54652,0.97328,0.23092,0.14361,0.11448,0.05798,1.88075,1.47167,0.94538,0.000470312,0.000470312,0.000470312
7,23255.4,1.94355,1.5222,0.9706,0.3267,0.13996,0.11992,0.06156,1.84873,1.42737,0.94033,0.000439375,0.000439375,0.000439375
8,26442.6,1.92614,1.49648,0.96582,0.25282,0.14595,0.12386,0.06432,1.83126,1.41672,0.93543,0.000408438,0.000408438,0.000408438
9,29631.7,1.91092,1.48353,0.9618,0.31402,0.14607,0.12556,0.06487,1.82693,1.40954,0.93436,0.0003775,0.0003775,0.0003775
10,32809.5,1.89603,1.46244,0.95909,0.32133,0.14878,0.12797,0.06614,1.80768,1.38385,0.93104,0.000346563,0.000346563,0.000346563
11,36210.7,1.80937,1.3792,0.95195,0.25062,0.15445,0.13332,0.0691,1.79811,1.36176,0.92835,0.000315625,0.000315625,0.000315625
12,39503.3,1.79476,1.35542,0.94831,0.24595,0.15556,0.13399,0.06946,1.78884,1.34917,0.92532,0.000284688,0.000284688,0.000284688
13,42972.4,1.78034,1.33452,0.94539,0.26401,0.15998,0.13782,0.07165,1.77449,1.33337,0.92469,0.00025375,0.00025375,0.00025375
14,46310.5,1.76399,1.31748,0.94074,0.25223,0.16214,0.13966,0.07301,1.77066,1.31976,0.92156,0.000222813,0.000222813,0.000222813
15,50376.7,1.7564,1.30437,0.93932,0.24574,0.16363,0.14283,0.07444,1.75833,1.30818,0.921,0.000191875,0.000191875,0.000191875
16,53823.3,1.74504,1.29282,0.93717,0.26838,0.16789,0.14525,0.07612,1.74817,1.30058,0.9193,0.000160938,0.000160938,0.000160938
17,57564.2,1.7327,1.27606,0.933,0.26309,0.16978,0.14686,0.07689,1.73991,1.28997,0.91767,0.00013,0.00013,0.00013
18,60931.1,1.7245,1.26415,0.93199,0.26351,0.17081,0.14873,0.07772,1.73774,1.28241,0.91591,9.90625e-05,9.90625e-05,9.90625e-05
19,64024.3,1.7104,1.25209,0.93133,0.26911,0.1725,0.15038,0.0788,1.7335,1.27744,0.91624,6.8125e-05,6.8125e-05,6.8125e-05
20,67561,1.70478,1.24528,0.9287,0.26659,0.1733,0.15082,0.07927,1.72865,1.27368,0.91515,3.71875e-05,3.71875e-05,3.71875e-05
